YourEmail,EmeEmail,text
ali@gmail.com,diana@gmail.com,Just happened a terrible car crash
ali@gmail.com,diana@gmail.com,"Heard about #earthquake is different cities, stay safe everyone."
ali@gmail.com,diana@gmail.com,"there is a forest fire at spot pond, geese are fleeing across the street, I cannot save them all"
ali@gmail.com,diana@gmail.com,Apocalypse lighting. #Spokane #wildfires
ali@gmail.com,diana@gmail.com,Typhoon Soudelor kills 28 in China and Taiwan
ali@gmail.com,diana@gmail.com,We're shaking...It's an earthquake
ali@gmail.com,diana@gmail.com,"They'd probably still show more life than Arsenal did yesterday, eh? EH?"
ali@gmail.com,diana@gmail.com,Hey! How are you?
ali@gmail.com,diana@gmail.com,What a nice hat?
ali@gmail.com,diana@gmail.com,Fuck off!
ali@gmail.com,diana@gmail.com,No I don't like cold!
ali@gmail.com,diana@gmail.com,NOOOOOOOOO! Don't do that!
ali@gmail.com,diana@gmail.com,No don't tell me that!
ali@gmail.com,diana@gmail.com,What if?!
ali@gmail.com,diana@gmail.com,Awesome!
ali@gmail.com,diana@gmail.com,Birmingham Wholesale Market is ablaze BBC News - Fire breaks out at Birmingham's Wholesale Market http://t.co/irWqCEZWEU
ali@gmail.com,diana@gmail.com,@sunkxssedharry will you wear shorts for race ablaze ?
